Ref,Val,Package,PosX,PosY,Rot,Side
"ARDUINO_NANO1","","ARDUINO_NANO",148.145600,-100.866100,90.000000,top
"C1","100nF","1206",169.100600,-124.996100,-90.000000,top
"C2","100nF","1206",136.080600,-124.996100,-90.000000,top
"C3","100nF","1206",117.030600,-124.996100,-90.000000,top
"C4","100nF","1206",162.750600,-94.516100,90.000000,top
"C5","100nF","1206",162.750600,-111.026100,90.000000,top
"C6","100nF","1206",160.210600,-78.006100,90.000000,top
"C7","100nF","1206",119.570600,-94.516100,90.000000,top
"C8","100nF","1206",142.430600,-78.006100,-90.000000,top
"C9","100nF","1206",119.570600,-111.026100,-90.000000,top
"H1","MOUNT-HOLE4.1","4,1",121.475600,-80.546100,0.000000,top
"H2","MOUNT-HOLE4.1","4,1",176.085600,-80.546100,0.000000,top
"IC1","74HC165D","SO16",176.085600,-124.996100,90.000000,top
"IC2","MAX485","SO08",167.195600,-78.006100,0.000000,top
"IC3","74HC165D","SO16",148.145600,-127.536100,90.000000,top
"IC5","74HC165D","SO16",124.015600,-124.996100,90.000000,top
"IC6","74HC595D","SO16",127.825600,-111.026100,0.000000,top
"IC7","74HC595D","SO16",127.825600,-94.516100,0.000000,top
"IC8","74HC595D","SO16",134.175600,-78.006100,0.000000,top
"IC9","74HC595D","SO16",151.955600,-78.006100,0.000000,top
"IC10","74HC595D","SO16",172.275600,-94.516100,0.000000,top
"IC11","74HC595D","SO16",172.275600,-111.026100,0.000000,top
"R1","10k","R1206W",188.531600,-137.061100,90.000000,top
"R2","10k","R1206W",184.975600,-137.061100,90.000000,top
"R3","10k","R1206W",181.546600,-137.061100,90.000000,top
"R4","10k","R1206W",177.990600,-137.061100,90.000000,top
"R5","10k","R1206W",174.561600,-137.061100,90.000000,top
"R6","10k","R1206W",171.005600,-137.061100,90.000000,top
"R7","10k","R1206W",167.576600,-137.061100,90.000000,top
"R8","10k","R1206W",164.020600,-137.061100,90.000000,top
"R9","10k","R1206W",160.591600,-137.061100,90.000000,top
"R10","10k","R1206W",157.035600,-137.061100,90.000000,top
"R11","10k","R1206W",153.606600,-137.061100,90.000000,top
"R12","10k","R1206W",150.050600,-137.061100,90.000000,top
"R13","10k","R1206W",146.621600,-137.061100,90.000000,top
"R14","10k","R1206W",143.065600,-137.061100,90.000000,top
"R15","10k","R1206W",139.636600,-137.061100,90.000000,top
"R16","10k","R1206W",136.080600,-137.061100,90.000000,top
"R17","10k","R1206W",132.651600,-137.061100,90.000000,top
"R18","10k","R1206W",129.095600,-137.061100,90.000000,top
"R19","10k","R1206W",125.666600,-137.061100,90.000000,top
"R20","10k","R1206W",122.110600,-137.061100,90.000000,top
"R21","10k","R1206W",118.681600,-137.061100,90.000000,top
"R22","10k","R1206W",115.125600,-137.061100,90.000000,top
"R23","10k","R1206W",111.696600,-137.061100,90.000000,top
"R24","10k","R1206W",108.140600,-137.061100,90.000000,top
"R25","1k","R1206W",148.145600,-114.836100,0.000000,top
"R26","1k","R1206W",148.145600,-112.296100,0.000000,top
"R27","1k","R1206W",148.145600,-102.136100,0.000000,top
"U$1","TX","CHIPLED_0603",167.195600,-86.896100,180.000000,top
"U$2","RX","CHIPLED_0603",163.385600,-86.896100,180.000000,top
"U$3","status","CHIPLED_0603",159.575600,-86.896100,180.000000,top
"X1","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-128.806100,90.000000,top
"X2","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-121.821100,90.000000,top
"X3","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-114.836100,90.000000,top
"X4","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-107.851100,90.000000,top
"X5","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-100.866100,90.000000,top
"X6","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-93.881100,90.000000,top
"X7","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-86.896100,90.000000,top
"X8","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",107.505600,-79.911100,90.000000,top
"X9","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",108.013600,-63.909100,0.000000,top
"X10","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",114.998600,-63.909100,0.000000,top
"X11","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",121.983600,-63.909100,0.000000,top
"X12","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",128.968600,-63.909100,0.000000,top
"X13","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",135.953600,-63.909100,0.000000,top
"X14","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",142.938600,-63.909100,0.000000,top
"X15","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",149.923600,-63.909100,0.000000,top
"X16","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",156.908600,-63.909100,0.000000,top
"X17","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-79.276100,-90.000000,top
"X18","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-86.261100,-90.000000,top
"X19","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-93.246100,-90.000000,top
"X20","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-100.231100,-90.000000,top
"X21","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-107.216100,-90.000000,top
"X22","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-114.201100,-90.000000,top
"X23","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-121.186100,-90.000000,top
"X24","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",188.785600,-128.171100,-90.000000,top
"X25","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",109.410600,-145.951100,0.000000,top
"X26","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",116.395600,-145.951100,0.000000,top
"X27","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",123.380600,-145.951100,0.000000,top
"X28","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",130.365600,-145.951100,0.000000,top
"X29","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",137.350600,-145.951100,0.000000,top
"X30","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",144.335600,-145.951100,0.000000,top
"X31","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",151.320600,-145.951100,0.000000,top
"X32","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",158.305600,-145.951100,0.000000,top
"X33","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",165.290600,-145.951100,0.000000,top
"X34","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",172.275600,-145.951100,0.000000,top
"X35","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",179.260600,-145.951100,0.000000,top
"X36","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",186.245600,-145.951100,0.000000,top
"X37","","W237-132",191.960600,-67.211100,180.000000,top
"X38","","W237-132",181.800600,-67.211100,180.000000,top
"X39","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",172.529600,-67.211100,0.000000,top
"X40","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM",165.290600,-67.211100,0.000000,top
